metabolite_id,sage_value,sage_value_sd
M33228,0.010330390052480966,0.00460583987618338
M35186,0.004804480835334242,0.0017324087358090877
M34214,-0.012689691095026977,0.0018426222573065779
M34419,-0.03294630980647537,0.0027404463762209395
M32635,-0.002590932393814403,0.0011966752411422619
M34395,0.03477584458268853,0.0026274817543702413
M34389,0.06319167243244257,0.004027204106093852
M48258,0.04689319540296825,0.0027660807988479255
M35628,-0.013993090260795303,0.001499659813517111
M33230,0.016350197996279767,0.0020419131656000023
M21127,0.007995377767870787,0.0011899941994517789
M33955,0.028452295263522515,0.003069956034759025
M35631,0.023108945815020945,0.0027193719040606965
M33961,-0.018462809896977215,0.0018130599733287536
M42398,0.008827277230346302,0.0022090820905927232
M19324,-0.0014600556247642768,0.0011762648054912284
M20675,0.011971452782884815,0.002345754603697605
M34400,0.0013529053498924175,0.0015921476703252696
M33971,0.020321144915408644,0.0019423363020432659
M33972,0.0016805884589550224,0.0019313563746850549
M32497,0.006653764586173632,0.001337490293723584
M42374,0.013656359285866391,0.0023533039886994207
M35675,-0.013785278197033568,0.0015934971860726008
M17945,0.014269152896078312,0.0017122950375477444
M45095,0.00794162145293574,0.001913732116815915
M35253,0.0013793377837712734,0.0026405307086136763
M32197,0.10812451236750385,0.006939738058296584
M31787,0.006120043452284097,0.0060191050189200785
M46410,0.020090984234888386,0.0021099347950142627
M00542,-0.012308322323042468,0.0020953249480553868
M27672,0.010325739216050652,0.0016839971784965374
M12017,-0.005162466633595201,0.0008536474464026989
M44526,0.01143035291672359,0.0023032922350219214
M15676,0.05424792338814279,0.005732387845780586
M15677,0.03415977971078531,0.002847251342125332
M36099,0.010745686616141413,0.002386158004288502
M22116,-0.02332693290258171,0.004981238912225091
M36098,-0.011234257349142948,0.0020431382462328495
M33968,0.025632677249923075,0.002432410970939691
M01494,0.008054578150894894,0.0027042981157291545
M36776,-0.00582072177247971,0.002121298714029808
M34390,0.015382187442262647,0.0022425067235777273
M32198,0.0049036462776645045,0.0017844562760165443
M32980,0.0009706058880526047,0.0018582444601295365
M01126,-0.005838530704670575,0.0012581280850090574
M01107,-0.0039942897107182705,0.001518948903115462
M33937,0.027832335784206616,0.0022275162233367685
M33453,0.006216170573604996,0.0012550785416280315
M01561,0.012609169248436348,0.0028888644170205033
