pathway_name,sage_value,sage_value_sd
Amino Acid,0.5171399609691782,0.02347415516074749
Carbohydrate,0.029805674200737098,0.01053478947668509
Cofactors and Vitamins,0.012612478745060496,0.0049809305074186155
Energy,0.01659330596061684,0.004117343258902425
Lipid,0.4248465566674431,0.023446078915693763
Nucleotide,0.008832754270678367,0.0033849531152431735
Peptide,0.0876162291143745,0.009915187129096286
Unknown,0.1330267864128074,0.010210670015048115
Xenobiotics,0.12157172556486273,0.010771927075586834
