pathway_name,sage_value,sage_value_sd
Alanine and Aspartate Metabolism,0.006436965161374941,0.002118184063137845
Aminosugar Metabolism,-0.0034030299586718994,0.0012220501828840212
Ascorbate and Aldarate Metabolism,0.0206238690423989,0.0023191650354823074
Benzoate Metabolism,0.02324423915089091,0.0027187562900916323
Carnitine Metabolism,-0.0014315038834378068,0.0008278481260742922
Chemical,0.00031660471610206464,0.0006170952201062641
Creatine Metabolism,0.02232507297815254,0.002526585933816461
Fatty Acid Metabolism (also BCAA Metabolism),0.016834632715758746,0.0023293544004097055
Fatty Acid Metabolism(Acyl Carnitine),0.1523421878938243,0.009282681194898626
"Fatty Acid, Branched",-0.007667690433291385,0.00666868271323588
"Fatty Acid, Dicarboxylate",0.023702770215212842,0.0029099406770342357
"Fatty Acid, Monohydroxy",0.006925712391797384,0.0017939667690125907
Food Component/Plant,0.010980330022895968,0.002420646626366905
"Fructose, Mannose and Galactose Metabolism",0.002426377686853304,0.0015710756272118596
Gamma-glutamyl Amino Acid,0.012570979420819705,0.002109170672631779
Glutamate Metabolism,0.0049011554793475295,0.0018745584496033384
Glutathione Metabolism,0.006399270352099114,0.0012159322637892832
Glycerolipid Metabolism,0.05783629919587807,0.003597747776831978
"Glycine, Serine and Threonine Metabolism",0.05769636888742893,0.0055131862210396855
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.01335461118049972,0.0030975017406976784
Hemoglobin and Porphyrin Metabolism,0.012480838192192556,0.002055382810200959
Histidine Metabolism,0.007579202399980134,0.0010996914714913753
Inositol Metabolism,0.017268352657431645,0.0017142024656238513
Ketone Bodies,-0.009743164023053464,0.0018268250996343286
"Leucine, Isoleucine and Valine Metabolism",0.0645629002581729,0.006822826285836572
Long Chain Fatty Acid,0.11724378307192165,0.007906621011177882
Lysine Metabolism,-0.0013668245282530077,0.0015869847617966163
Lysolipid,0.10779993260244129,0.00735509507183684
Medium Chain Fatty Acid,0.01605744262222327,0.0028891463077922383
"Methionine, Cysteine, SAM and Taurine Metabolism",0.010102742769029999,0.002176025535232415
Monoacylglycerol,0.010924343879769694,0.0013571622783398569
Oxidative Phosphorylation,0.051209545985688165,0.009857311156617067
Pantothenate and CoA Metabolism,0.005118796107878398,0.0016441652076780394
Phenylalanine and Tyrosine Metabolism,0.058255856628751254,0.006089525079327277
Phospholipid Metabolism,0.009278069551039403,0.0019136458806528703
Polyamine Metabolism,0.00351546617975685,0.0007946432105846804
Polyunsaturated Fatty Acid (n3 and n6),0.13758070410204004,0.008193715782776634
Primary Bile Acid Metabolism,0.01470940925059848,0.004602509040260552
"Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.010952284669684958,0.0017666530220819432
"Purine Metabolism, Guanine containing",-0.0010634296169729689,0.0008213370737954108
"Pyrimidine Metabolism, Uracil containing",0.017089048681492004,0.002277959172766045
Secondary Bile Acid Metabolism,0.0033495366132486382,0.001180096193317162
Sphingolipid Metabolism,0.013607264061436124,0.0017833434212306206
Steroid,0.05139305551217621,0.004977513279749337
Sterol,0.021437100203392956,0.002311077094107441
TCA Cycle,0.008667177334340425,0.0022033079681746054
Tocopherol Metabolism,0.0004357155370506606,0.0011158151515194246
Tryptophan Metabolism,0.032403418922587156,0.0031763483267676362
Unknown,0.23884324940454005,0.01159053672525576
Urea cycle; Arginine and Proline Metabolism,0.02010957426998807,0.004338135135235077
Vitamin B6 Metabolism,0.03879177491044068,0.007256100881715882
Xanthine Metabolism,0.01934893861230975,0.0028838205125726224
