metabolite_id,sage_value,sage_value_sd
M33228,0.03239550352039974,0.001088541775329448
M35186,0.00013924072958546645,0.000419497187112478
M34214,0.008092204245465981,0.0006694243924797588
M34419,-0.004037705169900999,0.0004838437466192458
M32635,-0.002068609399277899,0.0004323315255292503
M34395,0.004430955023782724,0.00047120687074404306
M34389,0.002437753741493317,0.00035751269316351664
M48258,0.03646011807049498,0.0010194787545861666
M35628,0.0012824254275866345,0.0002912795809812397
M33230,0.0294008129821731,0.0008107535367717239
M21127,0.007387694924307885,0.000395355415453823
M33955,0.022059298595076923,0.000741082043533141
M35631,-0.00018988526232338623,0.00023364588251432528
M33961,0.020945918015093958,0.0006467545455055437
M42398,0.0027995254675716444,0.0003350608718795635
M19324,0.0015348249935739926,0.00024102808625286502
M20675,0.002050224798505927,0.0003588471039854992
M34400,0.0046217710953363345,0.0008487044319334268
M33971,0.0016839729009908736,0.0007238425204054626
M33972,0.0018324153720216505,0.0006032378675014846
M32497,0.0032331836004758853,0.000363033830619124
M42374,0.006012542156712426,0.00033609721503523397
M35675,0.005339200755473444,0.0004670060573442547
M17945,0.00835190479453658,0.000487913109609238
M45095,0.007842350797999107,0.00036318512551366535
M35253,0.05692830521098166,0.0013247470370864281
M32197,0.002575903876139746,0.0004338628655280393
M31787,0.005687765305278734,0.00047074422465350857
M46410,-0.0015856524775839371,0.0002737566404094907
M00542,0.004005560634830148,0.0003993589519639842
M27672,0.025923462768526372,0.0009857847143641743
M12017,0.0007588477032967234,0.00016443643532473
M44526,0.01272362294324113,0.0004500040098809764
M15676,0.026401124282747684,0.0008789415969075588
M15677,0.01648212824206557,0.0006817795315409422
M36099,0.0022406577252608822,0.0006244887877040381
M22116,0.011543183479214934,0.00038419550642053907
M36098,-0.0012131599322536722,0.0002980329040600616
M33968,0.002844903410328194,0.00036394875439003406
M01494,0.002718286524081232,0.00029444895682822277
M36776,0.000356626424267333,0.0001843666534246129
M34390,0.0029503167107577965,0.0002902275471295827
M32198,0.007198301828889775,0.00041897455893016616
M32980,0.005610347633527642,0.0008173429203856974
M01126,0.0003476277821397239,0.00026241567779860424
M01107,0.0013786713862529642,0.0003275796423229775
M33937,0.0027114724678459438,0.000310092337861905
M33453,3.8851640615617375e-05,0.00021705114334104257
M01561,0.0016774059677889654,0.00033442574675527135
M31591,0.006413421494706485,0.00042378134150757637
M01110,0.009161597628488163,0.0007004433629050251
M01638,0.003703006172862285,0.0005027040832171817
M00512,0.008976110176627741,0.0005521781251813432
M12129,0.023097179764263103,0.0007721445814594903
M03141,0.0022740923547209216,0.0002915472344996796
M32586,-0.0012431504387971134,0.00035291862140547956
M43807,0.004225805459345781,0.00031062189472621995
M02137,0.002566645639380669,0.0004417977078143262
M32412,0.0018734076139364632,0.00037110626631148063
M00569,0.0017154486896802036,0.0003337398404421359
M01642,-0.001023343128412485,0.0007279607465388427
M32492,0.0023824603640195713,0.00046916901435948676
M15500,0.0004686407185894874,0.0002546065499254396
M35320,0.006631005895969812,0.0005364184854503724
M22842,0.004386003618486994,0.00038931665401281326
M00063,0.011107024541122841,0.0006466237807176773
M15506,0.0014985909289489156,0.0002745814942679274
M01564,0.013530469911743413,0.0004878846977270909
M02132,0.007031628680492259,0.0006268784690190302
M01712,-0.0003571596382702453,0.00029701679364556755
M01769,0.0021730130389636757,0.0002516665944135819
M27718,0.03860553921395867,0.001041676559847957
M00513,0.016350387067699885,0.00102585951646746
M31453,0.001921750674277239,0.00027015786609117424
M33941,0.02779970872826385,0.0007800127760986616
M32425,0.008051111948026532,0.00042650631118469205
M17805,-0.0004492794642909452,0.0005496963026768304
M35718,0.004021779759824409,0.0005567239963592625
M44675,0.0005857470502423826,0.0003355605419505672
M32504,0.00040609836851873693,0.0006664497219862054
M32388,0.0112624614157367,0.0005494371906287356
M18467,0.004346833624374879,0.00047163476396416907
M33587,0.012632296905583392,0.0013297017289729265
M33973,0.014236913532831073,0.0005894603206776227
M20699,0.011559531284848188,0.0007050049497221398
M33477,0.006311624951016874,0.000476149225606965
M00577,-0.0010494274560721942,0.00037571888039628835
M02730,0.0008334838206404476,0.00022262794831819438
M34456,0.0015356118070121686,0.0003450079426558448
M18369,0.0007014850028549689,0.00031900628076419617
M33422,0.0024084694406418714,0.0004948527667226042
M02734,0.0012152512950751768,0.0003667939030257149
M43829,0.00011705291183133437,0.0003068361448328448
M20488,0.03886162451882095,0.0016421596456635342
M00057,0.002376424879049451,0.0003112565188423656
M00053,0.00036792001042132454,0.0004309428211758868
M01572,0.006225069460776788,0.00042376804197237245
M15122,0.006558131042587347,0.00037077582467584015
M15365,0.020280676548928116,0.0007895716961140841
M15990,0.012936706644404857,0.0005057982289774952
M00058,0.012524818479337594,0.0006626194927121787
M32346,0.004531357421308107,0.0005504164574316416
M18476,0.003020549335235804,0.00035707043159782873
