pathway_name,sage_value,sage_value_sd
Amino Acid,0.367034548370739,0.024126178160522527
Carbohydrate,0.0744552171140753,0.008472338276687334
Cofactors and Vitamins,0.13766511440564425,0.010295212432870654
Energy,0.008459738917193581,0.0028766253746009846
Lipid,0.8510490601490457,0.038850403003001195
Nucleotide,0.06681104664891732,0.006582397169498669
Peptide,0.017990203301877596,0.004289145377893461
Unknown,0.3283399907137921,0.019690144307763648
Xenobiotics,0.08122958131695039,0.007095122820968576
