pathway_name,sage_value,sage_value_sd
Amino Acid,0.7848703674653988,0.03787299683538607
Carbohydrate,0.025937158790214892,0.005539291644024461
Cofactors and Vitamins,0.007208244198022538,0.004271990885933059
Energy,0.007822906098121373,0.0034687161628599813
Lipid,0.4985116314648687,0.03305908120642211
Nucleotide,0.021502964298556557,0.003688910332749629
Peptide,0.16869919376022188,0.015511682120092242
Unknown,0.15117826703982437,0.013051628533994107
Xenobiotics,0.04645063873879157,0.005592147487563349
