pathway_name,sage_value,sage_value_sd
Amino Acid,0.3076567631697748,0.01843977285589155
Carbohydrate,0.48688716537700427,0.02480306144329241
Cofactors and Vitamins,0.02384284648143696,0.007101155451168115
Energy,0.02528838481692592,0.002071238930286923
Lipid,0.5230145828229514,0.02338765830956232
Nucleotide,0.12466522450827813,0.008097391946454473
Peptide,-0.013717690827089925,0.0021582718802902992
Unknown,0.030546776004062887,0.00887376797346973
Xenobiotics,0.1307944428766153,0.011737696700279172
