metabolite_id,sage_value,sage_value_sd
M33228,0.0007237087433688785,3.765728145988192e-05
M35186,-6.230395598900224e-05,1.4216131167979457e-05
M34214,4.896055172947825e-05,4.141162995419099e-06
M34419,0.0002852124451181612,2.2087391280095913e-05
M32635,1.7334351243135004e-05,2.0061033919994854e-05
M34395,-9.480137999985072e-06,1.190993603076515e-06
M34389,6.171031693790797e-05,5.722691863730191e-06
M48258,0.0009501961260000837,5.02597523614688e-05
M35628,-0.00017233167254821557,1.757896061666517e-05
M33230,0.00029570200624041726,2.1028744923006603e-05
M21127,-4.685571416813829e-05,8.932281890660347e-06
M33955,0.0005456153667691202,4.077204791043037e-05
M35631,2.2390144680265893e-05,2.6817836919858436e-06
M33961,0.000822474903050156,5.277061685049218e-05
M42398,1.639412228690693e-05,4.270504640919209e-06
M19324,-4.890267203510422e-06,9.278267840483966e-07
M20675,-6.85284857020573e-05,1.174107640345944e-05
M34400,9.334549535256842e-06,1.112138514734286e-06
M33971,4.600593555615882e-05,3.5216039100705768e-06
M33972,6.761829804405894e-05,3.999915439611261e-06
M32497,1.1648015870311405e-05,1.425494971406325e-06
M42374,5.859107532124596e-05,7.644274644422283e-06
M35675,2.4616835738801144e-05,6.319839881934924e-06
M17945,7.066377917019146e-05,1.0001234691677316e-05
M45095,0.00017837267872226157,1.2951527735886712e-05
M35253,0.0009331208741090572,5.2785668257491366e-05
M32197,-0.0001362647860408096,1.2680472308562854e-05
M31787,0.0005194006224433241,5.000284190507724e-05
M46410,-7.766396965098298e-06,2.6369662417122147e-06
M00542,0.0002125044070426289,1.2281173778983037e-05
M27672,0.00045563330860792545,2.6068882126639836e-05
M12017,-3.4985585251301723e-07,7.162154624639966e-06
M44526,5.1837001247884446e-06,3.1321985700920597e-06
M15676,5.056526572554414e-06,1.7487015534103617e-06
M15677,0.0005497982073869118,3.263180835715696e-05
M36099,7.635715450012827e-05,9.17023457827223e-06
M22116,0.0001086284674414448,8.587577035800262e-06
M36098,-1.2608201334334977e-05,1.9975666934893753e-06
M33968,0.000921863687408465,4.077398963182145e-05
M01494,-4.3880630723170625e-06,1.1690529142170183e-05
M36776,2.8668629358913387e-05,5.9815765258853924e-06
M34390,4.235111780168985e-05,1.0171503020226729e-05
M32198,4.999421451091347e-05,3.036495035460115e-06
M32980,-2.5315865140165847e-05,3.9876018304955674e-06
M01126,0.00019461679906514174,1.908524559111072e-05
M01107,6.0932753606288435e-05,2.9566568879607433e-06
M33937,-5.672206093074075e-05,3.4609908666964945e-06
M33453,-4.124212734180786e-06,7.99286417663521e-07
M01561,-3.905360953269085e-05,2.8728700221671644e-06
M31591,0.0004041212573894189,2.2981187404674206e-05
M01110,0.000217627224135782,1.2975138367243167e-05
M01638,0.00020913696887608525,1.6442726820353238e-05
M00512,8.586120489790856e-05,8.149648199946588e-06
M12129,7.187989147972001e-05,2.2369204397959393e-05
M03141,9.110361476932789e-05,1.2271003173148882e-05
M32586,4.631582016772424e-05,1.1670216729915454e-05
M43807,-8.554559732323641e-05,1.3310828837586151e-05
M02137,-4.267091026773171e-05,1.5200959158856642e-05
M32412,-1.1101907448376737e-05,6.439282656557446e-06
M00569,4.7656587294816436e-05,4.215866155561361e-06
M01642,0.00017955320433011456,1.862851921750264e-05
M32492,-7.620377500500092e-06,8.175552990248274e-06
M15500,0.00012694455457655241,1.0476224440297694e-05
M35320,6.738963279861227e-05,1.1862350108882984e-05
M22842,4.748609158868664e-05,2.767260790126079e-06
M00063,1.8359686027431113e-05,5.477354677308463e-06
M15506,-5.137559986060994e-06,1.5406300969890736e-06
M01564,0.000508753358913167,2.1612673301978867e-05
M02132,1.3883086044535918e-05,4.88560805814625e-06
M01712,-5.987975588126502e-05,6.534552646459226e-06
M01769,-0.00012345171109288044,1.2683568234745343e-05
M27718,-0.0001143506002518359,1.202575089014918e-05
M00513,6.960416959478278e-06,1.6064004084053443e-05
M31453,-2.499023499933913e-05,4.379713122384293e-06
M33941,7.0790336591663875e-06,4.500724708619895e-06
M32425,0.0002078670129348887,1.0819752334357616e-05
M17805,3.15395556110578e-06,1.007728935737615e-06
M35718,-3.875632092063821e-06,2.6135787829826596e-06
M44675,0.00039089449173149035,3.2713623972433364e-05
M32504,0.00016482549250972347,2.1699772851251227e-05
M32388,0.0005388014536044878,2.7583214451283906e-05
M18467,0.0007651044991504607,4.190042666213549e-05
M33587,-1.8328087852878162e-05,2.1470682940387197e-06
M33973,0.0007729040064896721,3.565430112973993e-05
