metabolite_id,sage_value,sage_value_sd
M33453,-2.9847814960178034e-06,4.552829012595762e-06
M01561,-2.487319657608498e-06,4.398610603689356e-06
M31591,0.0033875817461093316,0.00019582747323516563
M01110,0.00026756405216904906,2.1060502343896066e-05
M01638,0.00012403134602268124,8.503028694337448e-06
M00512,-1.446247983755626e-05,2.6228811736074303e-05
M12129,1.823918223965345e-05,1.384469504614385e-05
M03141,4.076594388382868e-07,7.21076133912221e-06
M32586,9.683306235255301e-05,2.8969638113146836e-05
M43807,-0.00013266460077721883,2.4554093342642893e-05
M02137,-0.00010632911054509588,3.0335013945672593e-05
M32412,-0.00013909348467423994,4.771300338591494e-05
M00569,7.479098893514977e-05,1.0565470604751799e-05
M01642,2.7673923305973517e-06,1.4064424278179912e-05
M32492,-5.449255848127482e-05,1.3030592052077375e-05
M15500,-1.973191242419919e-05,8.681370174154025e-06
M35320,2.4978187154034004e-05,3.7064374084902686e-05
M22842,1.2743063673880887e-05,4.168270974366944e-06
M00063,0.00016378593544645666,2.934287440394092e-05
M15506,0.00013096758709111713,2.0064797791568227e-05
M01564,0.0009260247854107182,5.710367395770234e-05
M02132,0.00023439634379653692,3.59444795830982e-05
M01712,0.0003580148509386512,2.902624896731109e-05
M01769,0.0008411427640490868,6.267232477424316e-05
M27718,6.778148797735824e-05,9.155838493742627e-06
M00513,0.00012721175160706005,3.497897317011862e-05
M31453,5.695610378950881e-05,1.2502927521250466e-05
M33941,0.00026488116244745204,5.5020036634595434e-05
M32425,0.004983067514947237,0.0002433924040531862
M17805,-5.241681747291336e-05,1.9696824372432716e-05
M35718,1.2235719473025465e-05,1.2403565795487501e-05
M44675,0.00014734522770398263,2.8631929536634338e-05
M32504,3.527142462378035e-05,1.9619965684799906e-05
M32388,0.00014087751300106621,1.617376277994084e-05
M18467,0.0001746240440920445,4.390925302850802e-05
M33587,-3.969797056414756e-06,2.737949977798405e-06
M33973,0.004012349252834257,0.00022227214721961684
M20699,-4.022808505445006e-05,5.0791107374494254e-05
M33477,0.000313781980279791,3.339780161675987e-05
M00577,-1.8084261443001107e-05,9.913329390675973e-06
M02730,0.000108768531006697,1.0869235602519553e-05
M34456,-0.00024203970024091792,3.239719666004584e-05
M18369,-0.00039655561121187185,4.2498467771726856e-05
M33422,-9.065704784818822e-06,4.973268422984289e-05
M02734,-0.00020659120394306155,6.273777170452025e-05
M43829,-0.00010957100068382523,3.934239361651156e-05
M20488,0.0003594320689763872,3.667214188185752e-05
M00057,0.0005450896414200495,7.100763407408595e-05
M00053,0.00014479263635469935,2.241484501275996e-05
M01572,-1.4905175533609827e-05,9.916645714046619e-06
M15122,0.0009513496779038924,6.009042340367089e-05
M15365,-0.00018373642396960705,2.0249716262888172e-05
M15990,0.00048241938801816034,3.234845195692023e-05
M00058,0.0001366121955357737,1.230504711572806e-05
M32346,9.886459973401754e-05,9.486891058744296e-06
M18476,0.0001372449968515446,1.3790411833382535e-05
M41754,-0.00013858888570977127,1.4773201161089822e-05
M32328,0.0013416794296718542,0.00010443230614111836
M15753,0.00045327449258848995,3.922055285011658e-05
M00059,0.0008140548238236938,9.970132022806356e-05
M03127,3.7422454009429046e-05,4.491919910426097e-06
M27513,-0.0001755323982203199,2.085765073596549e-05
M18349,-0.00013736372363885337,1.240353778129218e-05
M32405,0.0001569451587348831,1.8908963910544416e-05
M33441,0.00017980086079424505,5.5040222444142263e-05
M01125,0.0001587621290381503,1.4111833211573861e-05
M34407,-0.00023547108878518104,2.8693714150437444e-05
M15140,0.0006545576729435361,8.714268114603694e-05
M00527,0.0001316500018034152,1.7665433350922632e-05
M01645,0.00017550830436061202,1.464816689264856e-05
M00060,0.0002485974365184631,2.2558314264568555e-05
M01105,-6.23859461938058e-05,1.0995326723556297e-05
M34035,-3.446051211956843e-05,6.950676972552857e-06
M01301,-6.152764727861773e-06,3.5927628842118114e-06
M01303,1.5545324888345486e-05,2.829882197263585e-06
M00584,0.00032378005638209655,3.675690408129263e-05
M01121,7.554700938551208e-05,1.2823675475677907e-05
M01302,0.0008113702051651847,6.11300825932365e-05
M19934,0.0005922325260353804,7.928834464068889e-05
M01365,8.141367898334093e-05,6.69284814644534e-06
M32418,0.00036099420152182235,2.6523236045784444e-05
M01585,0.00041127400956701086,3.402268465752312e-05
M27710,0.00010144878172366522,1.3976428217763093e-05
M33939,0.00011036869925270248,2.053906846003173e-05
M35137,0.00018193571561932369,2.6284639954776398e-05
M33936,0.0008017069252999566,8.402922231633225e-05
M35160,-4.7883552819381976e-05,1.0518166511113376e-05
M01493,-8.580951377715537e-05,1.052955956941202e-05
M36103,0.00018422526060235696,2.6024977024073865e-05
M01336,-7.939176808852191e-06,1.3419400752008497e-05
M33447,3.6451998081161434e-05,5.3966497741455224e-06
M44681,1.722019880788839e-05,1.3637379397976755e-05
M01508,0.00017277735065057012,2.707630622873172e-05
M18254,0.00012541941195279754,2.036626632804643e-05
M32553,0.0003006644936951136,3.2314204501301956e-05
M35126,0.0005494099852755955,5.521363364704542e-05
M00064,2.2149732262633428e-05,3.7284880635870798e-06
M22130,0.00030493367671791154,2.885182183651425e-05
M11438,0.00034333963753726193,2.7715563250887322e-05
M01444,0.0002936263673986165,3.263731141512788e-05
M33935,0.0001217846300442195,1.57716671273826e-05
M35127,0.00036789003122914194,6.928438609383919e-05
M01898,9.894735323356963e-05,2.304898310327476e-05
M32452,-3.7263471701548e-06,5.2824378161118306e-05
M33442,0.00057276506164632,7.812273972842963e-05
M31555,0.00027137874665482306,5.215146820629835e-05
M46225,-0.00011433317688594519,9.322866911799135e-06
M22250,-7.470653898204167e-05,2.2187304054356338e-05
M18335,0.0005022787349205308,4.018070950497034e-05
M01648,-0.0002484960186383434,3.127079340995244e-05
M34384,-1.0110625323256324e-05,3.1676608061499715e-06
M01358,6.039852932977016e-06,1.84828884467985e-05
M33969,0.00012230558433730463,1.9035253324926157e-05
M34409,8.121810847295812e-06,5.370303624242768e-06
M18494,-7.625263076579244e-05,2.1156099176745553e-05
M36850,-0.00010981044991759569,1.540201647216997e-05
M18392,4.791294404544228e-05,9.902210305296238e-06
M18394,0.0001611977619893717,1.452705153027231e-05
M27738,-7.771173486497367e-06,3.794324878890729e-06
M32306,1.806244311263138e-05,4.8381159943423645e-06
M00054,0.000551347128638149,4.4017450497220205e-05
M01299,-0.00018424550740193406,2.915943255726965e-05
M01604,-0.00027602193776215693,2.064255731334282e-05
M01670,-0.00011788378162137634,7.003893754563773e-05
M00606,4.892143326638193e-05,1.7082211227470075e-05
M01649,6.34915499944507e-05,9.106137217394628e-06
M03147,-3.634950861125875e-05,5.771130048228721e-06
M32735,-5.577910447033659e-06,3.79746401901494e-06
M46500,0.0010514026358166629,0.00010624829937175734
M32786,0.0007458646633393026,6.385855986350965e-05
M43258,0.0001131993724474819,1.5938485202518787e-05
M46146,-9.02265873141228e-05,2.2224875893865334e-05
M46355,-0.00010223606553353685,2.245930327540801e-05
M32578,0.0001356912433754777,2.226688224494238e-05
M46594,0.0010515110268787234,7.748610515038484e-05
M32698,6.294770999590757e-05,3.9030363789557164e-05
M45413,7.3454188548912565e-06,2.7549257865191165e-05
M46598,0.00020106450524750636,2.0941684505101738e-05
M46599,0.0031624264597728486,0.00015829943898908714
M46360,-0.00016321719928274114,2.015199826807126e-05
M46443,-0.00014248847114733398,2.148722169131357e-05
M46460,-0.0001595379515167373,3.522420175750035e-05
M46600,0.0001468585437168873,1.4770606490428458e-05
M46601,6.166393452209508e-05,5.387811847773432e-06
M47651,-8.374556039185746e-05,7.373695018522606e-06
M46603,-0.00011997427953834805,2.1348428778175756e-05
M46604,-0.00021879671068781133,1.9297984349466993e-05
M33132,0.0004251336806282342,5.265328788254682e-05
M33140,0.00015697731830185458,1.4899245695540938e-05
M46488,9.170320771743425e-05,3.480086366672314e-05
M46367,-0.00020702190667468742,2.7322345922597635e-05
M46588,5.930457679442875e-05,1.2421280942800104e-05
M47687,0.00033594497651238367,5.4459474838617504e-05
M46614,5.942138147067668e-05,1.8080210802070383e-05
M46618,9.594861071328634e-05,1.4722197164326021e-05
M43264,0.0001049181579961281,1.4108757813869136e-05
M46633,-3.841684529813267e-05,3.872183969058195e-05
M46733,0.00017115125453587195,3.5402322356068106e-05
M46632,-3.3838109714581106e-07,1.265170900790142e-05
M37253,7.881313247055457e-06,5.4751034523412e-06
M37202,0.0029808232418603183,0.0001579633368661688
M37203,0.006028744294679403,0.0003013199792417626
M35527,8.638671910355313e-05,1.4638517481873366e-05
M37190,0.0028421120761123724,0.00014274811939029268
M37198,0.0008456726477070833,0.00021463084162832806
M38178,0.0016349342612999292,0.00010475486814843101
M39379,0.0002126616143854528,1.4443307004899925e-05
M38768,4.1418608576412445e-05,1.2386549903944425e-05
M37506,0.0003560972360462771,4.198248355650098e-05
M37097,7.158624245749496e-05,3.165766408620963e-05
