pathway_name,sage_value,sage_value_sd
Amino Acid,0.004284565263792151,0.0003655671616419192
Carbohydrate,0.0004361222936055916,6.845968539580771e-05
Cofactors and Vitamins,0.0002647210906546549,0.00016148320038266006
Energy,0.0011200171377525616,8.498029990923065e-05
Lipid,0.013514824185574873,0.0006587017411194856
Nucleotide,0.0016372854526105272,0.00010979330912780624
Peptide,-0.00026282642443627814,5.935661464845376e-05
Unknown,0.003425252931225974,0.00026524198024134127
Xenobiotics,0.001108613638268275,9.119042289094812e-05
