pathway_name,sage_value,sage_value_sd
Amino Acid,0.03223211551007841,0.0013514805451142365
Carbohydrate,0.0017468866561881882,0.0001304935661887544
Cofactors and Vitamins,0.005987140294787197,0.0002886672178110594
Energy,0.006838495131885728,0.00026472804531506045
Lipid,0.04505509860518025,0.002185758650703685
Nucleotide,0.0027879452103594282,0.00018560720296968507
Peptide,0.013708696516631784,0.0005626110095753835
Unknown,0.018396884013545837,0.0006865096979916276
Xenobiotics,0.03868367731668943,0.0014272671787621662
