pathway_name,sage_value,sage_value_sd
Alanine and Aspartate Metabolism,0.001966214909268951,0.00011244473068895015
Aminosugar Metabolism,0.0006785346996118382,6.189256256570743e-05
Ascorbate and Aldarate Metabolism,0.0001100663841249892,2.750777461231409e-05
Benzoate Metabolism,0.003724582351675064,0.0004100844593049325
Carnitine Metabolism,0.00034180449036659577,0.00013189934067416002
Chemical,-0.00020862365932758928,6.707334541693656e-05
Creatine Metabolism,-0.0016636750992298152,0.00042593290719811954
Fatty Acid Metabolism (also BCAA Metabolism),0.0032641953137270163,0.00023936452138348355
Fatty Acid Metabolism(Acyl Carnitine),0.00015283572079907715,0.0002607835462184425
"Fatty Acid, Branched",-0.0005330552841094965,8.66459433012144e-05
"Fatty Acid, Dicarboxylate",0.002202286659859423,0.00015040244608742226
"Fatty Acid, Monohydroxy",0.00015286831803996585,6.032785218592521e-05
Food Component/Plant,0.0011259219705980247,0.000179074299945912
"Fructose, Mannose and Galactose Metabolism",-0.00021210789608932046,5.052022443474506e-05
Gamma-glutamyl Amino Acid,0.015388027643559598,0.000623231317723883
Glutamate Metabolism,0.0008522822209192175,0.00037138237990361054
Glutathione Metabolism,1.27249404436223e-05,1.2274933700477655e-05
Glycerolipid Metabolism,-0.0007722004474615227,5.709075510792293e-05
"Glycine, Serine and Threonine Metabolism",0.0023238262581764773,0.00013514219288945301
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.0012242100356493714,0.00010064288354069891
Hemoglobin and Porphyrin Metabolism,0.0043252365529076586,0.00023285863994209268
Histidine Metabolism,-0.00018252633511774063,4.29833430834171e-05
Inositol Metabolism,0.0006275942092644227,0.00010954363093651304
Ketone Bodies,0.0007665865822692665,6.157210609569104e-05
"Leucine, Isoleucine and Valine Metabolism",0.025362192005870615,0.0010732927559717793
Long Chain Fatty Acid,-0.005832473747676892,0.0005643376664302379
Lysine Metabolism,0.0009925850377437303,0.00015545839053849708
Lysolipid,0.03342782327274588,0.0017341046102988381
Medium Chain Fatty Acid,0.0010407467193617027,0.00012031132338300909
"Methionine, Cysteine, SAM and Taurine Metabolism",0.0015808019916271807,0.00013157093708105372
Monoacylglycerol,0.00024218286787943975,1.771485025397727e-05
Oxidative Phosphorylation,-0.0002630753095427636,1.807033093936231e-05
Pantothenate and CoA Metabolism,6.572529502524256e-05,8.32386882030125e-06
Phenylalanine and Tyrosine Metabolism,0.000842360766400917,0.0003299383824993057
Phospholipid Metabolism,0.0012036392362948412,7.43579472713034e-05
Polyamine Metabolism,6.438898465092734e-05,1.0316601737880299e-05
Polyunsaturated Fatty Acid (n3 and n6),0.003791513759559857,0.0005406177537569568
Primary Bile Acid Metabolism,0.001244366591857443,0.0001252651984135233
"Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.00075182662884747,6.174999312175308e-05
"Purine Metabolism, Guanine containing",0.001369716754650321,0.00015899745785982598
"Pyrimidine Metabolism, Uracil containing",0.0003387836642111471,7.707152798489992e-05
Secondary Bile Acid Metabolism,0.0021089678680573116,0.00010433699290392207
Sphingolipid Metabolism,0.0005506279454509667,6.14665694140862e-05
Steroid,-0.0032011525106221163,0.0011053716420283731
Sterol,8.259563522463391e-05,2.590797450065839e-05
TCA Cycle,0.007451433282677715,0.0003215054250977954
Tocopherol Metabolism,0.0004512546988269888,2.4387724052767882e-05
Tryptophan Metabolism,-0.002099955292310967,0.0002843257462934769
Unknown,0.01911929631594425,0.0007735099669656605
Urea cycle; Arginine and Proline Metabolism,0.0035247310306482497,0.0003140979255596183
Vitamin B6 Metabolism,0.0012368509898942602,0.00015883362252808422
Xanthine Metabolism,0.03610406935643405,0.0014579839844155234
