pathway_name,sage_value,sage_value_sd
Alanine and Aspartate Metabolism,0.0017212289861465925,0.0003395990358166062
Aminosugar Metabolism,-0.0002465258146728965,4.0599388174040744e-05
Ascorbate and Aldarate Metabolism,0.0017622336516440434,0.00020181783239778424
Benzoate Metabolism,0.0035770486401907205,0.00032843016990464975
Carnitine Metabolism,0.00046229185444243904,0.00010772082368473655
Chemical,0.0014595213464384633,0.00020996114297004598
Creatine Metabolism,0.005537121647932286,0.00035975314645480275
Fatty Acid Metabolism (also BCAA Metabolism),0.001172571319547992,0.0001724221738839177
Fatty Acid Metabolism(Acyl Carnitine),-0.0013633516760959644,0.00028708545142591175
"Fatty Acid, Branched",-0.0002389256540044069,6.20331289192483e-05
"Fatty Acid, Dicarboxylate",0.0018217993473029642,0.00029259884908439246
"Fatty Acid, Monohydroxy",0.00023514358171661278,8.605311086766487e-05
Food Component/Plant,9.999603516141276e-05,0.0002639961081484315
"Fructose, Mannose and Galactose Metabolism",0.004236429202733562,0.0002755762450858647
Gamma-glutamyl Amino Acid,0.011182342354019699,0.0006223244291869781
Glutamate Metabolism,0.006702235765868719,0.0004278898408550032
Glutathione Metabolism,-1.930045639113989e-05,5.084665703503687e-05
Glycerolipid Metabolism,-0.0005879029516519829,6.0847672263241936e-05
"Glycine, Serine and Threonine Metabolism",0.03624744270756665,0.001750303065145537
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.01090409539712093,0.000534009604175247
Hemoglobin and Porphyrin Metabolism,0.006263899921593486,0.00038875240488786994
Histidine Metabolism,0.00015897743092822779,0.0003078121923244829
Inositol Metabolism,4.55674676603807e-05,2.604540952709761e-05
Ketone Bodies,0.0023318662135710087,0.00013862943340915219
"Leucine, Isoleucine and Valine Metabolism",-0.009255383903943985,0.0008133140936993969
Long Chain Fatty Acid,-0.0007797994368347005,0.0002447687278761801
Lysine Metabolism,0.0014075731209504472,0.0003953442129398566
Lysolipid,0.059687660588967524,0.002831411163570209
Medium Chain Fatty Acid,0.0018804586941642508,0.00016774355121948408
"Methionine, Cysteine, SAM and Taurine Metabolism",-0.0022617997862546565,0.000402273613914871
Monoacylglycerol,1.656173112291874e-05,1.2916150797233664e-05
Oxidative Phosphorylation,0.005418342378260668,0.0002857511307227071
Pantothenate and CoA Metabolism,0.0007379800068802265,8.737472523913662e-05
Phenylalanine and Tyrosine Metabolism,0.009880988021283186,0.000497659936089549
Phospholipid Metabolism,6.384176935565285e-05,2.19572745255075e-05
Polyamine Metabolism,-0.00012803407912687786,1.3649865096031358e-05
Polyunsaturated Fatty Acid (n3 and n6),0.0020376871257514893,0.000607618376589162
Primary Bile Acid Metabolism,0.008072866130199502,0.0005523755887214415
"Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.010902470188999787,0.00045740225019736346
"Purine Metabolism, Guanine containing",-4.6403290070922614e-05,0.00019822619995369826
"Pyrimidine Metabolism, Uracil containing",0.002011950090717742,0.0003490059517607842
Secondary Bile Acid Metabolism,0.004302694533985493,0.00020631555104793611
Sphingolipid Metabolism,0.0009775261125121522,0.00012319409957056138
Steroid,0.004302610832286982,0.0003171134237685208
Sterol,0.00024027600355154509,6.725433558631238e-05
TCA Cycle,0.0012544826080340106,7.517747924857855e-05
Tocopherol Metabolism,0.0011326554974145535,7.260170965742849e-05
Tryptophan Metabolism,0.003158703377577342,0.000379342472008515
Unknown,0.023264789227540036,0.0011519136258269296
Urea cycle; Arginine and Proline Metabolism,0.0036656312783637074,0.0003500587820636797
Vitamin B6 Metabolism,0.0010161504820730353,0.0001470368295422691
Xanthine Metabolism,-0.006398593295717168,0.001371345286561552
