pathway_name,sage_value,sage_value_sd
Alanine and Aspartate Metabolism,0.0842318065194606,0.017468455336508357
Aminosugar Metabolism,0.018628406048910032,0.0019444937694228746
Ascorbate and Aldarate Metabolism,0.013738242555216986,0.006856792654113271
Benzoate Metabolism,0.15903297607259914,0.021476870294882648
Carnitine Metabolism,-0.0009338876437839978,0.0008822814769083752
Chemical,0.0731543812722512,0.009909265499845646
Creatine Metabolism,0.1385762521086338,0.014958487915901465
Fatty Acid Metabolism (also BCAA Metabolism),0.2571052109398502,0.019818920635450092
Fatty Acid Metabolism(Acyl Carnitine),-0.4675091273233282,0.12090167360652908
"Fatty Acid, Branched",-0.012827757353373359,0.0035343028315032088
"Fatty Acid, Dicarboxylate",0.055078240999066906,0.004596713117600351
"Fatty Acid, Monohydroxy",-0.0086412726909886,0.007708612195006305
Food Component/Plant,0.08455244740713007,0.00779144384358741
"Fructose, Mannose and Galactose Metabolism",-0.13796415565893086,0.01753093109002799
Gamma-glutamyl Amino Acid,1.3379119243342015,0.07165698491387772
Glutamate Metabolism,0.2542779143855668,0.016937321686151547
Glutathione Metabolism,0.015471106228666398,0.0030243223795370284
Glycerolipid Metabolism,0.025064734417832343,0.01657599515883003
"Glycine, Serine and Threonine Metabolism",1.8191589347250208,0.08962475205657056
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.17899620056661378,0.01606936219570748
Hemoglobin and Porphyrin Metabolism,-0.06569174556180102,0.009585659207750827
Histidine Metabolism,0.08578020643979374,0.01119836194140165
Inositol Metabolism,-0.00019837283908802423,4.817285319177771e-05
Ketone Bodies,-0.13918317635465446,0.012807310297323692
"Leucine, Isoleucine and Valine Metabolism",3.1912077870570186,0.15024444707719908
Long Chain Fatty Acid,-0.15978034802285493,0.03732320158865329
Lysine Metabolism,-0.013458191479047062,0.0038186925117564188
Lysolipid,0.08969042236583989,0.11014689748335166
Medium Chain Fatty Acid,0.15865744820419467,0.021895811168618273
"Methionine, Cysteine, SAM and Taurine Metabolism",0.15531084091065983,0.013018956678237782
Monoacylglycerol,-0.019099613098906773,0.008218692720347616
Oxidative Phosphorylation,0.18597571986571493,0.01337197936601412
Pantothenate and CoA Metabolism,0.004270601936830825,0.0024729943298765007
Phenylalanine and Tyrosine Metabolism,1.2933360913693754,0.06971330428745696
Phospholipid Metabolism,-0.14034176262630169,0.021264683286466548
Polyamine Metabolism,0.017026329204427208,0.005569099792864845
Polyunsaturated Fatty Acid (n3 and n6),0.012436538021840636,0.016745670024972462
Primary Bile Acid Metabolism,0.015418517766356651,0.005171820468369301
"Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.6742080287483029,0.035017421906638334
"Purine Metabolism, Guanine containing",0.009451050686804576,0.005393058913383637
"Pyrimidine Metabolism, Uracil containing",0.02252182478403614,0.008703487018559218
Secondary Bile Acid Metabolism,-0.010391570081597976,0.0026905600142790955
Sphingolipid Metabolism,0.16754688855146216,0.011316996019264289
Steroid,3.4343363725616776,0.16610779120100463
Sterol,0.07463431065876193,0.008997404846665818
TCA Cycle,-0.037096107371056654,0.004993820869955677
Tocopherol Metabolism,0.04356828576845304,0.0035116571959623367
Tryptophan Metabolism,0.5329288559475698,0.03456064493713751
Unknown,1.6107430422145397,0.09052193195583952
Urea cycle; Arginine and Proline Metabolism,0.2484136239531547,0.02187258597761797
Vitamin B6 Metabolism,0.04961277413709431,0.010989359796921049
Xanthine Metabolism,0.10923754791321845,0.011102501741752304
