metabolite_id,sage_value,sage_value_sd
M33228,0.0758613320792978,0.007409069491831595
M35186,0.0009351565574682628,0.0029352906983384974
M34214,0.061143629543737275,0.005548179960370344
M34419,0.16510129598032883,0.011652441439675275
M32635,0.007217540550587067,0.0020230218240465813
M34395,-0.00018075080899039535,9.427054110887822e-05
M34389,0.0013352522821921693,0.0009239970767116114
M48258,0.16981750328245285,0.013821501254933363
M35628,0.04407049728084306,0.004975361030269343
M33230,0.011392860635110984,0.002074518633160856
M21127,0.03593887244339817,0.004547882342387485
M33955,0.10884240547092634,0.009035570012768163
M35631,0.08352453813968619,0.00650130119693447
M33961,0.1358866899420255,0.011363702496977978
M42398,0.024258425928032942,0.0048561327413779104
M19324,0.04096626131463875,0.003919419303519302
M20675,0.025674577099641868,0.0035061427371318255
M34400,0.033689664820773214,0.0033776466060511344
M33971,0.032225263271549086,0.005341808546719797
M33972,0.02827222082409878,0.004777021189377505
M32497,0.012914423384000508,0.0028349384851775747
M42374,0.011080432764559223,0.0020524931582576278
M35675,0.0025012008842978345,0.001367597156071045
M17945,0.006792786873401059,0.0021743069315109526
M45095,0.006178175391330475,0.0014139755612320643
M35253,0.149832140318114,0.013345679706045225
M32197,0.021345123847735417,0.0043963826868047935
M31787,0.011815215280629473,0.0023128432027607567
M46410,0.008406504928314714,0.00161030166595291
M00542,0.017663255919862914,0.003305971212318925
M27672,0.01924290644511485,0.0024611640098773264
M12017,0.021323239635257174,0.004116043543773793
M44526,0.001715142960419626,0.0009561668832643631
M15676,0.008670466121828759,0.003280861431868618
M15677,0.018122743358343404,0.0025608420622797432
M36099,-0.0002889282999976915,0.0011653905572427904
M22116,0.0011371734669051346,0.0021677908347155425
M36098,1.4538527542519499e-05,0.001109057757100278
M33968,0.0133272443899287,0.004497014716994776
M01494,0.01321477602885134,0.0018190094950150098
M36776,0.0023070631916697402,0.001136900189968072
M34390,0.00710003208708777,0.0012701243000120838
M32198,0.04056986830464735,0.003890507667184995
M32980,0.06628862668549786,0.00938997241578923
M01126,0.029213581495287605,0.006440374822454962
M01107,0.011681953586996354,0.0024835853952750904
M33937,0.10421235697655479,0.00835808469483048
M33453,0.0002699870651423828,0.00021311512144814873
M01561,0.0007421741578231911,0.0006900587268275361
M31591,0.02622139079152541,0.00360429225806603
M01110,0.07559673665898838,0.00732308185613796
M01638,0.036325826454483005,0.0045669595348289535
M00512,0.06008003508534832,0.006293103436309987
M12129,0.06411937157014727,0.010340111982900907
M03141,0.32606400059271845,0.02128001998130755
M32586,0.08824843381959556,0.005807996875854586
M43807,0.034949758184823834,0.004480546637661284
M02137,0.0743232540173703,0.006541065033039596
M32412,0.0013501230653473197,0.0016351347899016713
M00569,0.08576223159855167,0.005985750871490806
M01642,0.02138016809551858,0.0035261721285155738
M32492,0.010922475006655044,0.00165022370576667
M15500,0.005799392039186327,0.0015413260579053146
M35320,0.004831041343999841,0.0016486248234411911
M22842,0.011813453351215792,0.0018554533464957318
M00063,0.0028711893851447214,0.0009687122004405392
