pathway_name,sage_value,sage_value_sd
Alanine and Aspartate Metabolism,0.1460686454917698,0.02261397401594767
Aminosugar Metabolism,-0.00803221846151786,0.0011756435403322445
Ascorbate and Aldarate Metabolism,0.0058783830053385985,0.0011384970339000237
Benzoate Metabolism,0.03149820974240818,0.005957766133547896
Carnitine Metabolism,0.016281982345800392,0.002918125741513539
Chemical,-0.005085289402153157,0.0017394003117257887
Creatine Metabolism,-0.06519198558762623,0.010103436305643186
Fatty Acid Metabolism (also BCAA Metabolism),-0.017467889905309782,0.0034059329374417787
Fatty Acid Metabolism(Acyl Carnitine),4.028731708870996,0.18023301319409135
"Fatty Acid, Branched",-0.006783789165125976,0.024203475014631142
"Fatty Acid, Dicarboxylate",0.10047416721210416,0.011664097957405336
"Fatty Acid, Monohydroxy",0.05205395724924605,0.006497534682553315
Food Component/Plant,0.09229742178993705,0.009279298748386747
"Fructose, Mannose and Galactose Metabolism",0.0005925080605745095,0.0019064494225970142
Gamma-glutamyl Amino Acid,0.144083778625914,0.008369099151093861
Glutamate Metabolism,-0.15065802422328636,0.01947306797723464
Glutathione Metabolism,0.0012794958429115128,0.0034309349545163176
Glycerolipid Metabolism,-0.04917728080882056,0.0025535197491968757
"Glycine, Serine and Threonine Metabolism",4.267333478033415,0.1679919527672652
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",-0.06568552702107117,0.008919454206412407
Hemoglobin and Porphyrin Metabolism,0.4776848561266938,0.028273537282003186
Histidine Metabolism,0.07249692101126363,0.0061365569317659505
Inositol Metabolism,-0.003659182800205028,0.001683508992947293
Ketone Bodies,0.14336410180116244,0.008626603823926458
"Leucine, Isoleucine and Valine Metabolism",1.0428090139817303,0.05297475150232929
Long Chain Fatty Acid,-0.4080163550716151,0.07433725487583288
Lysine Metabolism,0.14463676705096415,0.01406976058888243
Lysolipid,1.6447528666621531,0.08919956499734569
Medium Chain Fatty Acid,0.28812756270765044,0.016012891426347327
"Methionine, Cysteine, SAM and Taurine Metabolism",-0.1242112057703292,0.008656480547341541
Monoacylglycerol,0.12976801910236982,0.008824443640930824
Oxidative Phosphorylation,0.10636843902781713,0.007480069451916297
Pantothenate and CoA Metabolism,-0.00649294451523795,0.002742428584568665
Phenylalanine and Tyrosine Metabolism,0.38156568559797993,0.021340336803009174
Phospholipid Metabolism,-0.07037244584107032,0.007087186467938347
Polyamine Metabolism,0.033565483208009346,0.0062135125449067
Polyunsaturated Fatty Acid (n3 and n6),0.625837961401052,0.07575773282505677
Primary Bile Acid Metabolism,0.14514974311053438,0.015116762077724904
"Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.5053092018563957,0.02182340459024191
"Purine Metabolism, Guanine containing",-0.0008377205726948486,0.0017513983279628222
"Pyrimidine Metabolism, Uracil containing",0.017313594949921362,0.007894850751021837
Secondary Bile Acid Metabolism,0.059211307326036654,0.0055785012630242044
Sphingolipid Metabolism,0.05174792577244869,0.005414621443963325
Steroid,0.4955651168664133,0.032551775236099784
Sterol,-0.0030084774600071303,0.0030627800271886847
TCA Cycle,0.49584140369133584,0.022966797321466458
Tocopherol Metabolism,0.017538392129561143,0.0013665682663658943
Tryptophan Metabolism,0.41638657225109393,0.02192334599371545
Unknown,1.523237067063586,0.08112282821699289
Urea cycle; Arginine and Proline Metabolism,0.40064502670338414,0.03206892165274759
Vitamin B6 Metabolism,-0.012161270768552735,0.0035580089661938555
Xanthine Metabolism,-0.1325218514548026,0.03511723755080235
