pathway_name,sage_value,sage_value_sd
Alanine and Aspartate Metabolism,0.07630282310669832,0.0039597723615043936
Aminosugar Metabolism,0.056047881826517015,0.004567632884998943
Ascorbate and Aldarate Metabolism,0.05468584140074636,0.0043603137965175336
Benzoate Metabolism,0.23387321930558722,0.012647765839105997
Carnitine Metabolism,0.06644551361030117,0.005323966762156018
Chemical,0.0043779270320631735,0.0036572834884889666
Creatine Metabolism,0.04162412979131089,0.012464625562225624
Fatty Acid Metabolism (also BCAA Metabolism),0.150584109184293,0.00970797785111142
Fatty Acid Metabolism(Acyl Carnitine),0.10855627755793,0.016663586958621336
"Fatty Acid, Branched",0.0020151807550097714,0.002169953403129339
"Fatty Acid, Dicarboxylate",0.09917390809168455,0.0065127798376835985
"Fatty Acid, Monohydroxy",0.0002557980674515719,0.00023259956708817148
Food Component/Plant,0.0643301898046304,0.006481923777916044
"Fructose, Mannose and Galactose Metabolism",0.015528065127622219,0.0024237193408348104
Gamma-glutamyl Amino Acid,0.6544697263092937,0.031148164556801763
Glutamate Metabolism,0.28758775841463774,0.01435040629341509
Glutathione Metabolism,0.004978793787017073,0.0010340939843790648
Glycerolipid Metabolism,-0.02221527227485836,0.0031516424703236594
"Glycine, Serine and Threonine Metabolism",0.06931747661232372,0.005601156880820113
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.15175241653037327,0.008450789887803387
Hemoglobin and Porphyrin Metabolism,0.1460395372740195,0.010075580255881369
Histidine Metabolism,0.01921485412456901,0.004205092959825374
Inositol Metabolism,0.04018170309775605,0.005637344280192337
Ketone Bodies,0.016750241814987653,0.002886989706430505
"Leucine, Isoleucine and Valine Metabolism",1.0207448030000668,0.04800158714851989
Long Chain Fatty Acid,-0.010195155699109691,0.02118731094234877
Lysine Metabolism,0.02822616756741483,0.0037758588010634157
Lysolipid,1.0857807060644675,0.052709532204639024
Medium Chain Fatty Acid,-0.027387206843316997,0.006375565516460241
"Methionine, Cysteine, SAM and Taurine Metabolism",0.03297299135029946,0.0037334139493201595
Monoacylglycerol,0.009202158213472842,0.0013311840968490596
Oxidative Phosphorylation,-0.00012509326991722426,1.969280749769619e-05
Pantothenate and CoA Metabolism,0.021104000956122637,0.002941897793484308
Phenylalanine and Tyrosine Metabolism,0.2929056883495932,0.01707739281345713
Phospholipid Metabolism,0.022840073647702283,0.002896607458936678
Polyamine Metabolism,0.005114006560008651,0.0013942582627643769
Polyunsaturated Fatty Acid (n3 and n6),0.07513510974877173,0.010595865997653178
Primary Bile Acid Metabolism,0.0944556967507888,0.009861016461267889
"Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.00955347746388412,0.002925305395675668
"Purine Metabolism, Guanine containing",0.044447057144099716,0.004151220066731867
"Pyrimidine Metabolism, Uracil containing",0.03261027500402369,0.004115767320501811
Secondary Bile Acid Metabolism,0.06652787267608679,0.004020431624786056
Sphingolipid Metabolism,0.010259851771542946,0.0015108458654899523
Steroid,0.4045973269409387,0.05272781402038789
Sterol,0.003512202029217212,0.0009252737534691488
TCA Cycle,0.11556337294943796,0.006801890929178919
Tocopherol Metabolism,0.0203157719731809,0.001307228402907494
Tryptophan Metabolism,0.11166865992247565,0.008253591119240532
Unknown,0.7112502554541431,0.025894973387192217
Urea cycle; Arginine and Proline Metabolism,0.23621457284158887,0.015146373950581752
Vitamin B6 Metabolism,0.12153538400627628,0.01146784480440592
Xanthine Metabolism,0.3231395347688811,0.018272319786041876
