pathway_name,sage_value,sage_value_sd
Amino Acid,0.0004488042650631054,2.9800631964349178e-05
Carbohydrate,0.00043436102597953647,2.5342845845356243e-05
Cofactors and Vitamins,7.154217023341175e-05,8.033556152361219e-06
Energy,-5.247597036306292e-06,3.2012789383459043e-06
Lipid,0.0007612744865968185,3.787160216541582e-05
Nucleotide,4.7169612031560064e-08,5.560460824170864e-06
Peptide,7.4236005982370915e-06,1.852773974441267e-06
Unknown,0.00026621365646989305,1.7484208921715774e-05
Xenobiotics,0.00025158304344216967,1.8860909865724036e-05
