pathway_name,sage_value,sage_value_sd
Alanine and Aspartate Metabolism,3.2712085331949034e-05,1.4264997958052202e-05
Aminosugar Metabolism,-1.3518767370483896e-06,5.724292597317716e-06
Ascorbate and Aldarate Metabolism,-2.027026780703223e-05,2.9233793860740406e-06
Benzoate Metabolism,0.0002804248218893336,2.5156939639881126e-05
Carnitine Metabolism,7.125234556836317e-05,6.490430515583722e-06
Chemical,3.956050166001115e-05,6.016551887361333e-06
Creatine Metabolism,5.3516225164858134e-05,1.0311532753419368e-05
Fatty Acid Metabolism (also BCAA Metabolism),0.00036386271736088094,1.666355747153411e-05
Fatty Acid Metabolism(Acyl Carnitine),0.0014804511542164769,8.64477629858505e-05
"Fatty Acid, Branched",0.00036225307116376573,3.038238101808668e-05
"Fatty Acid, Dicarboxylate",0.00021213011044812855,1.5760994543408628e-05
"Fatty Acid, Monohydroxy",6.781349451017127e-05,9.065594271384784e-06
Food Component/Plant,0.0001316942222763931,1.2882774585626013e-05
"Fructose, Mannose and Galactose Metabolism",4.744094643102828e-05,6.8513748021550045e-06
Gamma-glutamyl Amino Acid,0.0008294731653820562,4.2687634543247306e-05
Glutamate Metabolism,0.00024745485167004827,1.7146783363670597e-05
Glutathione Metabolism,-1.0441989590691784e-05,6.025485858770291e-06
Glycerolipid Metabolism,0.0006270077971733039,2.9396744692232966e-05
"Glycine, Serine and Threonine Metabolism",0.0004670740911030297,3.1113427276068725e-05
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",-8.64207186633928e-05,1.2865865758257475e-05
Hemoglobin and Porphyrin Metabolism,0.00014706893725353025,1.4820300304144552e-05
Histidine Metabolism,0.00013070465177424996,1.545106468914753e-05
Inositol Metabolism,1.7393939538065397e-05,4.969271569626779e-06
Ketone Bodies,0.0007502835765134184,3.6516596003127806e-05
"Leucine, Isoleucine and Valine Metabolism",0.0012326243888638453,6.706355077697387e-05
Long Chain Fatty Acid,0.004154605555215915,0.0001637518277953516
Lysine Metabolism,5.560565951513825e-05,1.713356511583596e-05
Lysolipid,-8.692510968355908e-05,5.191759970492829e-05
Medium Chain Fatty Acid,0.0012084238157617205,5.5231796798449785e-05
"Methionine, Cysteine, SAM and Taurine Metabolism",0.00015669478121710877,1.1870156004703897e-05
Monoacylglycerol,-1.6797811293529477e-06,2.7576700056558206e-06
Oxidative Phosphorylation,-6.62733064521184e-05,7.285379540734221e-06
Pantothenate and CoA Metabolism,6.66423308804117e-05,4.885976803129572e-06
Phenylalanine and Tyrosine Metabolism,0.0005410578682144819,3.653892115744347e-05
Phospholipid Metabolism,0.0002158442053087686,1.2714408983058786e-05
Polyamine Metabolism,2.9893542645730962e-05,3.3487999375860647e-06
Polyunsaturated Fatty Acid (n3 and n6),0.0023274543900018378,0.0001144838167823912
Primary Bile Acid Metabolism,0.0002714393964795541,1.881545207422784e-05
"Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.00019681944642496903,1.4110849526861565e-05
"Purine Metabolism, Guanine containing",-3.451436632195194e-06,5.933113188678165e-06
"Pyrimidine Metabolism, Uracil containing",8.539950639231901e-05,8.73137381434899e-06
Secondary Bile Acid Metabolism,8.616247740745877e-05,6.152289690746664e-06
Sphingolipid Metabolism,2.627405722022098e-05,2.7833260361427637e-06
Steroid,0.0003698803093658345,3.144311661969303e-05
Sterol,1.2060462898641266e-05,3.290411614308765e-06
TCA Cycle,0.00021138682291019348,1.4224290151286386e-05
Tocopherol Metabolism,-8.204065009779525e-06,1.1785834571133252e-06
Tryptophan Metabolism,0.0012163551101878147,5.983051317061071e-05
Unknown,0.001803917070885775,8.651924580458597e-05
Urea cycle; Arginine and Proline Metabolism,0.0007356494770292641,4.2911179293864196e-05
Vitamin B6 Metabolism,-5.004661494162945e-05,1.0467649061138616e-05
Xanthine Metabolism,-8.751422577524799e-05,1.3882508662164456e-05
