pathway_name,sage_value,sage_value_sd
Alanine and Aspartate Metabolism,6.376155554070857e-05,7.414036863248374e-06
Aminosugar Metabolism,-5.096343428197282e-06,4.10326355968553e-06
Ascorbate and Aldarate Metabolism,9.201047192414467e-06,2.1036890947617913e-06
Benzoate Metabolism,2.3107248136106772e-05,7.438649704930676e-06
Carnitine Metabolism,-2.262611866671921e-06,1.9386940360956763e-06
Chemical,5.077894771601604e-05,4.756293908541713e-06
Creatine Metabolism,1.163349352671188e-05,3.0324625624292764e-06
Fatty Acid Metabolism (also BCAA Metabolism),-3.2835761202479304e-05,3.044839732343926e-06
Fatty Acid Metabolism(Acyl Carnitine),-5.456945303938556e-05,1.3472853541473525e-05
"Fatty Acid, Branched",7.772434791171176e-05,5.439970500748261e-06
"Fatty Acid, Dicarboxylate",-2.2078158746577716e-05,3.500470684557556e-06
"Fatty Acid, Monohydroxy",3.75223091296572e-05,5.999188371327697e-06
Food Component/Plant,0.00013834987472368125,8.787345223831988e-06
"Fructose, Mannose and Galactose Metabolism",0.00015946387470342253,9.259611017766898e-06
Gamma-glutamyl Amino Acid,-9.238474172593931e-05,1.036700477356968e-05
Glutamate Metabolism,0.00018748453257830827,1.2964621720104356e-05
Glutathione Metabolism,1.2462925285757758e-06,2.2125018368870225e-06
Glycerolipid Metabolism,0.000145515192141468,7.758212174463143e-06
"Glycine, Serine and Threonine Metabolism",0.00013305937164895585,1.4211401364493392e-05
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.0002799672388556321,1.5647372646480206e-05
Hemoglobin and Porphyrin Metabolism,0.00014380071305649013,1.04394886507428e-05
Histidine Metabolism,2.9145507391544876e-05,4.580925965734347e-06
Inositol Metabolism,1.6809129384839856e-05,3.843630973179452e-06
Ketone Bodies,-8.506673391608336e-05,6.137379249184014e-06
"Leucine, Isoleucine and Valine Metabolism",0.0002603479372777639,1.6109309681884148e-05
Long Chain Fatty Acid,0.0006005871010929804,2.7841890276651102e-05
Lysine Metabolism,7.210522857689598e-05,6.026424587737957e-06
Lysolipid,0.00022179461892422655,1.6059065749257557e-05
Medium Chain Fatty Acid,0.00011776508744582698,7.19741602565196e-06
"Methionine, Cysteine, SAM and Taurine Metabolism",-3.993788145057126e-05,4.02387218788577e-06
Monoacylglycerol,5.033178796683735e-05,4.142964176819135e-06
Oxidative Phosphorylation,-1.651595487457824e-05,3.238848007557571e-06
Pantothenate and CoA Metabolism,2.442680239278342e-05,2.770065591770284e-06
Phenylalanine and Tyrosine Metabolism,1.691856892990311e-05,1.2459984591538405e-05
Phospholipid Metabolism,-4.000529445762257e-05,4.961209305789301e-06
Polyamine Metabolism,-8.251825526440532e-06,1.439861279609661e-06
Polyunsaturated Fatty Acid (n3 and n6),0.00023252913125154255,2.600567901238129e-05
Primary Bile Acid Metabolism,0.00020868300372279522,1.550787269374154e-05
"Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.0001792396860010727,1.0399882226092066e-05
"Purine Metabolism, Guanine containing",3.925325577979403e-05,4.093682003957184e-06
"Pyrimidine Metabolism, Uracil containing",1.569877801300188e-05,5.554089005732114e-06
Secondary Bile Acid Metabolism,7.870921471587467e-05,5.8501878438262395e-06
Sphingolipid Metabolism,-5.618394357751062e-07,3.4296102849291013e-06
Steroid,0.0008301216892881251,3.34503871641997e-05
Sterol,3.419536369981804e-05,3.4651080365189004e-06
TCA Cycle,-8.48815501512539e-05,4.739717413435647e-06
Tocopherol Metabolism,-2.6744913469297593e-07,6.925228577187692e-07
Tryptophan Metabolism,2.4038287391833316e-05,6.124064685426698e-06
Unknown,0.0001488127844296638,2.5899703804145152e-05
Urea cycle; Arginine and Proline Metabolism,0.00014961718553592714,1.6861905331169105e-05
Vitamin B6 Metabolism,1.4493971827358921e-05,2.161538920965492e-06
Xanthine Metabolism,0.0008813466384017234,4.300350218864289e-05
