pathway_name,sage_value,sage_value_sd
Alanine and Aspartate Metabolism,5.070208368755968e-05,3.906749175297684e-06
Aminosugar Metabolism,2.3437193599022172e-05,1.5771866986674411e-06
Ascorbate and Aldarate Metabolism,1.1133802976950648e-05,9.541663568863559e-07
Benzoate Metabolism,0.0001486223074463582,1.6632438123270762e-05
Carnitine Metabolism,2.4446819662195094e-05,5.586701220994333e-06
Chemical,5.492424940577962e-06,8.131756725515985e-07
Creatine Metabolism,-9.59132389615909e-05,1.7906071574080634e-05
Fatty Acid Metabolism (also BCAA Metabolism),0.0001739644919468067,1.17065450562263e-05
Fatty Acid Metabolism(Acyl Carnitine),0.00012089166692420437,1.0966823661499983e-05
"Fatty Acid, Branched",-3.2723425536985916e-05,2.9675167760806077e-06
"Fatty Acid, Dicarboxylate",0.00011341605443305163,7.480119431331837e-06
"Fatty Acid, Monohydroxy",2.04597412835113e-05,3.8606472628803074e-06
Food Component/Plant,6.187941632495091e-05,6.681620158209332e-06
"Fructose, Mannose and Galactose Metabolism",8.374799716485767e-06,1.8993018867528656e-06
Gamma-glutamyl Amino Acid,0.000591746997133976,2.325906894696749e-05
Glutamate Metabolism,4.472083920864686e-05,1.6520911252595047e-05
Glutathione Metabolism,-1.3344267134977251e-06,1.0088736349010983e-06
Glycerolipid Metabolism,3.47049137092849e-05,2.3352820547626064e-06
"Glycine, Serine and Threonine Metabolism",0.00028512438833906966,1.1869424089382275e-05
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",4.05960451882526e-05,3.861515845150007e-06
Hemoglobin and Porphyrin Metabolism,0.00018798576118464277,9.95077210672384e-06
Histidine Metabolism,1.2406490750490382e-05,1.789499214930395e-06
Inositol Metabolism,1.6178044310003617e-05,3.956186832515003e-06
Ketone Bodies,9.174261775260633e-05,5.1054166647153665e-06
"Leucine, Isoleucine and Valine Metabolism",0.0008956196526111913,3.746803894486492e-05
Long Chain Fatty Acid,-0.00018824993048425858,1.5027074309814592e-05
Lysine Metabolism,2.4166554975234495e-05,6.53515768910158e-06
Lysolipid,0.0018715450717494604,8.218449045797402e-05
Medium Chain Fatty Acid,0.0001966332917139449,1.1706736347554904e-05
"Methionine, Cysteine, SAM and Taurine Metabolism",1.0486512356002606e-05,3.456171950905807e-06
Monoacylglycerol,2.947449591781136e-06,6.334536865914806e-07
Oxidative Phosphorylation,1.0499072374021175e-05,1.309119335917796e-06
Pantothenate and CoA Metabolism,-2.4231827287976695e-06,1.402397195568769e-06
Phenylalanine and Tyrosine Metabolism,-4.933547989310706e-05,1.2546895956999497e-05
Phospholipid Metabolism,6.423123862854425e-05,3.2686187887085023e-06
Polyamine Metabolism,-1.8219284771132694e-07,1.5001635606923893e-06
Polyunsaturated Fatty Acid (n3 and n6),0.00017706782153573762,2.3008356305880807e-05
Primary Bile Acid Metabolism,4.480458296483423e-05,4.676941088313187e-06
"Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.0002108648054944527,8.00295804245234e-06
"Purine Metabolism, Guanine containing",6.095581389585106e-05,6.99061274628613e-06
"Pyrimidine Metabolism, Uracil containing",1.7891828872777142e-05,2.662305334667025e-06
Secondary Bile Acid Metabolism,7.70984902122156e-05,3.995414677152485e-06
Sphingolipid Metabolism,4.161506950494605e-05,3.853957277414643e-06
Steroid,-0.00011458792302665429,3.729913666265272e-05
Sterol,-9.757510557031235e-06,1.2368030378015169e-06
TCA Cycle,0.0003393353594419097,1.4068407593648035e-05
Tocopherol Metabolism,2.0313525303796552e-05,1.0830305513629668e-06
Tryptophan Metabolism,-0.0001347864755283123,1.0586191892161398e-05
Unknown,0.0009673916060087578,3.804556499655425e-05
Urea cycle; Arginine and Proline Metabolism,0.00024349170528972748,1.4356104301725862e-05
Vitamin B6 Metabolism,1.4439348437945135e-05,2.724328728656044e-06
Xanthine Metabolism,0.0017423508304052488,6.77055042294084e-05
