metabolite_id,sage_value,sage_value_sd
M45413,8.185297976451768e-06,9.72243291279679e-07
M46598,4.407014244357543e-05,3.4184433142210912e-06
M46599,9.229809829266489e-05,5.067179635600539e-06
M46360,2.336794893993784e-05,1.384110584456568e-06
M46443,1.7171928176815303e-05,1.026802568334929e-06
M46460,8.839942959662474e-05,6.821925711959131e-06
M46600,2.2474702589590296e-05,1.5815267949174682e-06
M46601,6.495104158444941e-05,4.050400154135808e-06
M47651,5.80635999272935e-06,5.941538905138369e-07
M46603,2.4178735140366656e-05,1.5939650076323193e-06
M46604,0.00019498283275894254,9.591620178893985e-06
M33132,6.5252572972216215e-06,1.4321570604226691e-06
M33140,2.8653682095491544e-05,2.1947646810721243e-06
M46488,1.015200859352388e-05,3.2289358882516203e-06
M46367,8.358067291427816e-05,5.2004019222331486e-06
M46588,-3.38552935112232e-06,3.5243715972008394e-06
M47687,2.2828150274162287e-07,1.0957055114617735e-06
M46614,2.926552633477917e-05,4.781150967306876e-06
M46618,-5.847904837237175e-05,7.171257703505954e-06
M43264,0.00014197027081657785,1.080829744401734e-05
M46633,9.001813157689e-05,6.846766525041495e-06
M46733,4.3803541839704554e-05,7.5400767470359655e-06
M46632,-3.4255139380072273e-06,1.4597687181318502e-06
M37253,3.954968306199659e-06,9.478183505287184e-07
M37202,7.495421751165742e-05,3.899206559464745e-06
M37203,0.00014006096411910975,6.402062281441011e-06
M35527,-2.4271571403695934e-05,1.7992059641771458e-06
M37190,0.00014409180406878245,6.619303114103777e-06
M37198,8.384524952252431e-05,6.645093512188498e-06
M38178,-9.565396218230043e-05,1.5148721504219584e-05
M39379,1.1749861042428693e-05,6.563959515221006e-07
M38768,3.529249564092405e-05,2.286022663744381e-06
M37506,-1.5911746666336549e-06,5.839843736188418e-07
M37097,-5.501037457814307e-08,6.62211545440294e-07
